# ranks ; cores  ; dim_x ; dim_y ; dim_z ; steps ; time
2048    ; 512    ; 190   ; 190   ; 190   ; 1     ; 00:05:48.238454
4096    ; 1024   ; 239   ; 239   ; 239   ; 1     ; 00:05:30.645449
8192    ; 2048   ; 302   ; 302   ; 302   ; 1     ; 00:06:17.698656
16384   ; 4096   ; 380   ; 380   ; 380   ; 1     ; 00:05:48.587298
32768   ; 8192   ; 479   ; 479   ; 479   ; 1     ; 00:05:31.263246
65536   ; 16384  ; 604   ; 604   ; 604   ; 1     ; 00:06:15.986658
131072  ; 32768  ; 761   ; 761   ; 761   ; 1     ; 00:06:03.108186
262144  ; 65536  ; 959   ; 959   ; 959   ; 1     ; 00:05:54.519127
524288  ; 131072 ; 1209  ; 1209  ; 1209  ; 1     ; 00:05:41.225835
